dates,RG_BISH05_mm,RG_BISH12_mm,RG_DEL0103_mm,RG_KID1316_mm,RG_KID46_mm,RG_MEL05_mm,RG_MEL14_mm,RG_NASE0104_mm,RG_NASE05i_mm,RG_NEWS1920_mm
2024-01-11,0.734002637909091,0.7626892162,0.46596108575,1.299290701642857,0.0,0.46659423411111106,0.6798923404285714,0.5775672819333334,0.6313858434666667,0.8026722410909091
2024-01-12,0.0,0.0,0.0,0.8787576908333333,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9514866293333333,2.1335186866666667,0.0
2024-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234187493,0.256039038,0.0
2024-01-16,1.1689242786,1.4712691313333333,0.8027875844000001,0.0,0.9754897515000001,0.83956193075,0.9515039568000001,1.092935736,1.19496036,0.5224261385000001
2024-01-17,0.6636486141538461,0.6937747731428571,0.6689797643333333,2.3236965244375,1.7220742637894737,0.7151590046666666,0.5596874106999999,1.0645925528461537,1.1157495446428571,0.6576327587692308
2024-01-18,2.2848457071578947,1.9732815892000002,2.0928975436000004,1.3052830033,1.1725386884545455,2.2665525349999998,1.83282549105,1.4066391060833334,1.9633845085555555,1.7955158332
2024-01-19,0.6121850022,0.6482665686,0.521259093909091,0.263698871,0.26589204,0.5995818595714286,0.47966277642857147,0.8951673725,0.51222277675,0.6270572388
2024-01-20,1.112937759,1.1797574154285715,1.39757199175,0.30767091150000003,0.265778761,0.9325754786666667,1.025833068,1.5062510064444445,1.2522366178888888,1.0588216164285715
2024-01-21,1.26591015195,1.491620596,1.249088097357143,0.5274484679375,1.2623361959166666,0.9215559511176471,0.7951019444210526,2.9095677364166668,2.5964481070454544,1.14033558615
2024-01-22,1.3388478023750001,1.4760881886875001,1.323096154307692,0.8791213406666666,1.1196082813571429,1.0816644089999998,1.140483401153846,1.504692638235294,1.4616823178235292,0.9978806742142857
2024-01-23,0.5934588108,0.7806237568571428,0.2866628022,0.5072042512307692,0.7304584343333334,0.3263398903333333,0.7192782678571429,0.7674229739090909,0.6831648564999999,0.46658128272727273
2024-01-24,1.9685200081538463,1.9845728737857142,1.4714987546666667,0.527513489,0.6759309478181819,1.0255647022,1.1681525981764707,2.4909018788421053,2.0901321691052632,1.2673909388888889
2024-01-25,2.03041253355,2.1590182556,0.7596137161,0.263775634,0.6637292196,0.89495864235,1.0347971205,1.9471818413333333,1.5643428832105264,1.5115049653
2024-01-26,1.7149874721666667,1.8748350765833333,1.50484116925,0.7913525276666666,1.758195327625,1.4914340043333334,1.4261831744,3.002007476066667,3.0553906165384612,1.4023757330000002
2024-01-27,2.688182131952381,3.1691406082,1.544617297222222,0.791375076923077,1.250921397357143,1.501147424263158,1.692463544157895,3.6634703065454546,3.1972925334761904,2.4765156777272725
2024-01-28,1.9650481612,2.27164469,1.791403478,0.6331209812,1.149596753,1.5759858405454545,1.8174645123000002,1.654642429,1.8925878897692305,1.87802996625
2024-01-29,0.5560716665000001,0.741613077,0.0,0.0,0.0,0.0,0.559133317,0.255896167,0.256325288,0.570638609
2024-01-30,0.3706786958333333,0.593660601,0.4299035908333333,0.4397095326666667,0.7070384683333333,0.4892025875,0.41931660649999997,0.30708681239999996,0.32042339175,0.3994832712
2024-01-31,0.57915832125,0.6598311392222223,0.32480865453333335,0.0,0.265051206,0.279527975,0.27953011157142854,0.6763498724285714,0.8479497240769232,0.48511142100000004
2024-02-01,0.3335510472,0.3566477518,0.35823155650000005,0.263846569,0.0,0.4471936072,0.41924392033333335,0.255934551,0.25638690966666666,0.2854024956666667
2024-02-02,0.8338457937142857,0.8493998371428572,0.57315203675,0.0,0.3532509286666667,0.27947666,0.27947915079999996,0.255945458,0.5982707083333334,0.784902444125
2024-02-03,0.0,0.0,0.286572056,0.0,0.0,0.279457602,0.279462569,0.0,0.0,0.0
2024-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-05,0.4445782998,0.46351938744444443,0.5730984142000001,0.3044986909230769,0.39703249957142855,0.3352731137,0.3911525144,0.4421673510909091,0.3847008193,0.3925749165
